id	sample_description	title	study_ref	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	filetype	library_nominal_length	library_nominal_sdev
77	366344_0979-LP1-16S-0174	Must-20-AUG-2022-gt64-Block2_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
78	366344_0978-LP1-16S-0175	Must-20-AUG-2022-gt5-Block2_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
79	366344_0977-LP1-16S-0176	Must-20-AUG-2022-gt120-Block1_pPNA_1	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
80	366344_0976-LP1-16S-0177	DNA18-pos-1_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
81	366344_0975-LP1-16S-0178	Must-20-AUG-2022-gt48-Block2_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
82	366344_0974-LP1-16S-0179	Must-20-AUG-2022-gt48-Block1_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
83	366344_0973-LP1-16S-0180	Must-27-AUG-2022-gt110-Block1_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
84	366344_0972-LP1-16S-0181	Must-27-AUG-2022-gt147-Block2_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
85	366344_0971-LP1-16S-0182	Must-20-AUG-2022-gt64-Block2_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
86	366344_0970-LP1-16S-0183	Must-20-AUG-2022-gt5-Block2_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
87	366344_0969-LP1-16S-0184	Must-20-AUG-2022-gt120-Block1_pPNA_1.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
88	366344_0968-LP1-16S-0185	DNA18-pos-1_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
89	366344_0967-LP1-16S-0186	Must-20-AUG-2022-gt48-Block2_m+pPNA_0.25	RxCS_microbiome_QTLmapping_Bacteria	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina NovaSeq 6000	fastq	500	100
